loop,generation,qd_score,max_fitness,coverage,time,frames,es_updates,surrogate_updates,rl_updates,evaluations,actor_fitness,center_fitness,pop_mean,pop_median,pop_std,pop_min,pop_max,center_mean,center_median,center_std,center_min,center_max,sigma,eigen_change,injection_norm,rl_step_norm,es_step_norm,surrogate_step_norm,es_rl_cosine,es_rl_sign,actor_es_dist,surr_fit_cosine,surr_fit_sign,surr_rl_cosine,surr_rl_sign,es_dist,rl_dist,start_cos_sim,spearmans_correlation,spearmans_pvalue,canonical_step_norm,cma_canonical_cosine,cma_canonical_sign,canonical_rl_cosine,canonical_rl_sign,spearman_omega
,1,485.19635,102.78577,0.1953125,63.30181908607483,1000,0,0,0,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
,2,610.2323,102.78577,0.29296875,63.440024614334106,2000,1,0,0,10,69.62605,102.78577,43.379776,23.439686,40.33058,2.2608418,134.3623,-15.87382,-15.536009,1.2217398,-18.116093,-13.937363,-inf,-inf,1.0,2.3619463,12.908911,8.578048,-0.0730788,0.47280967,13.279756,0.28272367,0.592145,-0.04444047,0.48187312,12.908911,2.3619463,-0.0730788,0.6727273,0.5011208,-inf,-inf,-inf,-inf,-inf,-inf
,3,782.649,102.78577,0.390625,0.40113043785095215,3000,2,0,0,20,72.371864,-16.264069,15.820697,11.579874,21.7405,-12.865566,69.38007,21.713108,19.243671,11.293717,10.30867,44.869133,-inf,-inf,1.0,2.6663904,9.648479,10.426316,-9.709354e-05,0.49244714,11.500414,0.60117805,0.7024169,0.02368722,0.5120846,11.174971,13.040411,0.6681176,0.16363633,0.8700174,-inf,-inf,-inf,-inf,-inf,-inf
,4,1074.3701,150.42111,0.48828125,0.40412235260009766,4000,3,0,0,30,177.27158,31.116684,48.17288,45.20263,34.121696,1.2391367,111.252594,138.16704,139.6344,4.6947145,130.3114,146.12213,-inf,-inf,1.0,2.548859,13.673007,13.165368,-0.013522045,0.48036253,16.311262,0.10028431,0.54531723,0.06840334,0.49697885,16.313892,11.337583,0.5414505,0.3333333,0.73888266,-inf,-inf,-inf,-inf,-inf,-inf
,5,1387.2423,171.57227,0.5859375,0.4019765853881836,5000,4,0,0,40,178.48282,150.42111,56.358032,44.89257,64.97354,-23.61602,176.5638,167.39835,170.18564,6.6002502,153.7579,172.90244,-inf,-inf,1.0,2.539837,11.719287,11.764175,0.10770926,0.5377644,12.259104,0.96569586,0.9063444,0.10685672,0.5347432,12.587092,16.300192,0.69880533,0.5272727,0.5980041,-inf,-inf,-inf,-inf,-inf,-inf
,6,1678.1744,171.57227,0.68359375,0.40609073638916016,6000,5,0,0,50,177.64975,171.57227,80.8034,75.650955,63.873714,7.3343706,179.27812,152.5612,153.13809,3.733442,142.15118,155.7519,-inf,-inf,1.0,2.3305802,10.19272,10.07719,-0.01812917,0.489426,11.053947,0.30527452,0.60120845,0.018400699,0.5166163,11.43836,12.726636,0.6272469,0.21212117,0.83201253,-inf,-inf,-inf,-inf,-inf,-inf
,7,1757.8604,179.49658,0.68359375,0.40579724311828613,7000,6,0,0,60,177.95203,149.63208,97.21278,106.04345,62.064457,3.6177273,178.46565,177.68495,177.68091,0.71090573,176.49194,178.68643,-inf,-inf,1.0,2.2969828,9.925183,10.0514,0.005727434,0.49697885,10.474157,0.73768103,0.7386707,0.031069228,0.50755286,10.799357,11.610219,0.58978957,0.59999996,0.54850626,-inf,-inf,-inf,-inf,-inf,-inf
,8,1757.8604,179.49658,0.68359375,0.4050874710083008,8000,7,0,0,70,177.02074,179.49658,112.56409,110.098465,53.1643,41.52308,177.59955,177.12578,177.00415,0.6320748,175.97177,178.44855,-inf,-inf,1.0,1.6003127,12.786076,9.655827,-0.0021904418,0.5,15.1367855,0.8172476,0.8021148,0.023200918,0.50755286,15.381004,10.912032,0.5645719,0.5515151,0.5812806,-inf,-inf,-inf,-inf,-inf,-inf
,9,1757.8604,179.49658,0.68359375,0.40537452697753906,9000,8,0,0,80,177.45525,176.73636,92.83416,81.61098,57.444035,15.992117,176.3058,177.36473,177.65964,0.75743634,175.83682,178.28639,-inf,-inf,1.0,1.9460377,11.056344,10.929304,0.024178196,0.49093655,12.318976,0.88326186,0.8293051,0.006158939,0.4833837,12.967573,15.447851,0.703382,0.58787876,0.5566137,-inf,-inf,-inf,-inf,-inf,-inf
,10,1759.4532,179.49658,0.68359375,0.41161084175109863,10000,9,0,0,90,177.39182,178.14908,119.539696,143.5351,59.577503,18.717308,177.24316,173.74344,173.68228,1.39656,171.23694,175.91916,-inf,-inf,1.0,2.1912363,13.788877,11.090475,0.023152083,0.49093655,15.7847395,0.7692881,0.76586103,0.114700414,0.5468278,16.186752,12.952122,0.5633906,0.6242424,0.5324683,-inf,-inf,-inf,-inf,-inf,-inf
,11,1761.7257,179.49658,0.68359375,0.41347384452819824,11000,10,0,0,100,176.56458,173.1651,78.921974,67.944565,66.86466,-38.056023,177.19476,175.9296,176.06107,0.9853478,173.83588,177.25949,-inf,-inf,1.0,1.42359,11.032594,10.946595,0.05998031,0.5151057,12.029223,0.6741688,0.7145015,0.074810944,0.5347432,12.954926,16.260756,0.73669946,0.40606058,0.6846981,-inf,-inf,-inf,-inf,-inf,-inf
